#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=754151 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1550 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
754151,2.220446E-16,0,15.745595,12.172249,9.736465,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_754151.png'>
754152,0.10063854,0,15.904875,12.188639,9.748432,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_754152.png'>
754153,0.18270987,0,15.99343,12.237974,9.721645,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_754153.png'>
754154,0.27090108,0,16.101036,12.277077,9.6377325,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_754154.png'>
754155,0.36566857,0,16.172373,12.360037,9.561711,
754156,0.5031073,0,16.263254,12.399391,9.4449,
754157,0.6151898,0,16.372969,12.402353,9.366101,
754158,0.7356296,0,16.496769,12.428811,9.30818,
754159,0.86505055,0,16.610855,12.4992895,9.264558,
754160,1.0041217,0,16.710176,12.605998,9.227579,
754161,1.2593315,0,16.81373,12.796399,9.161659,
754162,1.4867073,0,16.82934,12.947576,9.117821,
754163,1.7369658,0,16.836231,13.062401,9.066316,
754164,2.0124102,0,16.854687,13.173557,9.029443,
754165,2.237037,0,16.876808,13.25801,9.008255,
754166,2.4784133,0,16.89253,13.333704,8.989268,
754167,3.0165045,0,16.929523,13.47473,8.930397,
754168,3.5279765,0,16.98016,13.5447,8.950195,
754169,3.9836636,0,16.987633,13.598684,8.938451,
754170,4.4852138,0,17.01894,13.660843,8.932501,
754171,5.0372367,0,17.061808,13.704324,8.939048,
754172,5.4874153,0,17.089848,13.735502,8.933266,
754173,5.9711623,0,17.107958,13.76422,8.9219675,
754174,7.0495663,0,17.112587,13.804994,8.899165,
754175,8.074616,0,17.11743,13.840124,8.889175,
754176,8.987875,0,17.122894,13.8742895,8.8781185,
754177,9.993033,0,17.144955,13.904509,8.87648,
754178,15.132311,0,17.182058,13.976902,8.839616,
754179,20.000021,0,17.191786,14.019048,8.815374,
