#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=959840 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1554 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
959840,2.220446E-16,0,10.315448,17.000809,0.08814031,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_959840.png'>
959841,0.10063854,0,10.221684,16.953703,0.059947334,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_959841.png'>
959842,0.18270987,0,10.144735,16.914738,0.031608608,
959843,0.27090108,0,10.070111,16.876852,24.993866,
959844,0.36566857,0,9.992974,16.839352,24.99001,
959845,0.5031073,0,9.881021,16.80286,24.985317,
959846,0.6151898,0,9.799461,16.774431,24.98926,
959847,0.7356296,0,9.716838,16.737125,24.992882,
959848,0.86505055,0,9.631871,16.696096,24.98511,
959849,1.0041217,0,9.544612,16.66333,24.952972,
959850,1.2593315,0,9.401785,16.603848,24.905443,
959851,1.4867073,0,9.288619,16.548128,24.878706,
959852,1.7369658,0,9.175912,16.485567,24.857536,
959853,2.0124102,0,9.075378,16.438183,24.8168,
959854,2.237037,0,9.000903,16.40964,24.773308,
959855,2.4784133,0,8.929031,16.371094,24.737038,
959856,3.0165045,0,8.802182,16.29315,24.71778,
959857,3.5279765,0,8.564625,16.324976,24.695936,
959858,3.9836636,0,8.43279,16.319038,24.698906,
959859,4.4852138,0,8.318508,16.3335,24.683836,
959860,5.0372367,0,8.254682,16.306757,24.65232,
959861,5.4874153,0,8.190098,16.295448,24.621704,
959862,5.9711623,0,8.138422,16.278236,24.60108,
959863,7.0495663,0,8.046723,16.239996,24.584932,
959864,8.074616,0,7.966558,16.221148,24.54411,
959865,8.987875,1,7.9059987,16.20647,24.506468,
959866,9.993033,1,7.8498607,16.18596,24.482248,
959867,15.132311,0,7.681989,16.110184,24.416958,
