#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=971267 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1834 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
971267,2.220446E-16,0,21.159018,11.135658,21.783884,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_971267.png'>
971268,0.10063854,0,21.239204,11.094247,21.877893,
971269,0.18270987,0,21.30424,11.05904,21.95176,
971270,0.27090108,0,21.381811,11.020169,22.034569,
971271,0.36566857,0,21.460573,10.981394,22.115458,
971272,0.5031073,0,21.564455,10.93045,22.220205,
971273,0.6151898,0,21.635944,10.895185,22.294937,
971274,0.7356296,0,21.706007,10.8594885,22.37061,
971275,0.86505055,0,21.7872,10.822741,22.452765,
971276,1.0041217,0,21.879465,10.795294,22.5388,
971277,1.2593315,0,22.058462,10.710209,22.667341,
971278,1.4867073,0,22.174719,10.659331,22.763786,
971279,1.7369658,0,22.26302,10.61698,22.852924,
971280,2.0124102,0,22.379929,10.565381,22.942097,
971281,2.237037,0,22.430271,10.546403,22.996998,
971282,2.4784133,0,22.467705,10.483828,23.058708,
971283,3.0165045,0,22.613747,10.448719,23.16857,
971284,3.5279765,0,22.687748,10.41986,23.250093,
971285,3.9836636,0,22.734446,10.406677,23.303194,
971286,4.4852138,0,22.751999,10.379886,23.341232,
971287,5.0372367,0,22.759708,10.331738,23.389517,
971288,5.4874153,0,22.77029,10.314105,23.42685,
971289,5.9711623,0,22.777283,10.306784,23.460213,
971290,7.0495663,0,22.788986,10.28113,23.499147,
971291,8.074616,0,22.817913,10.263893,23.513313,
971292,8.987875,0,22.82986,10.245715,23.519705,
971293,9.993033,0,22.833183,10.227191,23.52632,
