#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=878368 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1809 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
878368,2.220446E-16,0,8.886304,21.69437,12.750939,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_878368.png'>
878369,0.10063854,0,8.920919,21.715849,12.754269,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_878369.png'>
878370,0.18270987,0,8.963478,21.723612,12.747598,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_878370.png'>
878371,0.27090108,0,8.976301,21.719711,12.740949,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_878371.png'>
878372,0.36566857,0,8.992973,21.741928,12.734099,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_878372.png'>
878373,0.5031073,0,9.084974,21.805395,12.72016,
878374,0.6151898,0,9.153512,21.81333,12.715081,
878375,0.7356296,0,9.207226,21.812279,12.701695,
878376,0.86505055,0,9.258314,21.813492,12.690847,
878377,1.0041217,0,9.302734,21.827381,12.682085,
878378,1.2593315,0,9.35235,21.870186,12.655506,
878379,1.4867073,0,9.376851,21.904926,12.63597,
878380,1.7369658,0,9.392746,21.937267,12.614765,
878381,2.0124102,0,9.426676,21.940182,12.583536,
878382,2.237037,0,9.421619,21.958673,12.566429,
878383,2.4784133,0,9.424943,21.9434,12.556972,
878384,3.0165045,0,9.424678,21.903778,12.51596,
878385,3.5279765,0,9.423807,22.014076,12.43162,
878386,3.9836636,0,9.430081,22.056223,12.395829,
878387,4.4852138,0,9.454727,22.088552,12.38083,
878388,5.0372367,0,9.471929,22.146545,12.381537,
878389,5.4874153,3,9.45623,22.017897,12.241112,
878390,5.9711623,3,9.459612,22.039494,12.189268,
878391,7.0495663,0,9.480122,22.091963,12.119515,
878392,8.074616,0,9.491451,22.127228,12.073951,
