#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=950105 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1679 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
950105,2.220446E-16,0,11.412302,4.188184,9.8687935,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_950105.png'>
950106,0.10063854,0,11.4466915,4.115652,9.742046,
950107,0.18270987,0,11.47989,4.060888,9.640134,
950108,0.27090108,0,11.504833,4.0064006,9.542138,
950109,0.36566857,0,11.528708,3.9499092,9.443577,
950110,0.5031073,0,11.578856,3.8796847,9.315573,
950111,0.6151898,0,11.62684,3.8208067,9.148965,
950112,0.7356296,0,11.676701,3.7685597,9.01039,
950113,0.86505055,0,11.718619,3.7103026,8.882469,
950114,1.0041217,0,11.752117,3.6649761,8.740642,
950115,1.2593315,0,11.824552,3.6095312,8.534738,
950116,1.4867073,0,11.877105,3.5531719,8.400253,
950117,1.7369658,0,11.919163,3.4840367,8.2733755,
950118,2.0124102,0,11.966672,3.4440544,8.152284,
950119,2.237037,0,11.99206,3.405111,8.086867,
950120,2.4784133,0,12.00327,3.3428538,8.02843,
950121,3.0165045,0,11.996884,3.2085876,7.9060974,
950122,3.5279765,0,11.989589,3.12854,7.7971053,
950123,3.9836636,0,11.987516,3.0635977,7.7227955,
950124,4.4852138,0,11.992586,3.005196,7.640991,
950125,5.0372367,0,11.980788,2.9461062,7.5957136,
950126,5.4874153,0,11.985781,2.9249325,7.562669,
950127,5.9711623,0,11.99073,2.903056,7.545173,
950128,7.0495663,2,11.98299,2.8684764,7.5082693,
950129,8.074616,0,11.963893,2.8279874,7.4509835,
950130,8.987875,3,11.97274,2.7808044,7.3889775,
950131,9.993033,0,11.984539,2.7509062,7.3456903,
