#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=817104 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1777 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
817104,2.220446E-16,0,12.779194,7.1996484,10.328991,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_817104.png'>
817105,0.10063854,0,12.832619,7.1833363,10.320502,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_817105.png'>
817106,0.18270987,0,12.89867,7.16268,10.301611,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_817106.png'>
817107,0.27090108,0,12.924822,7.175497,10.308114,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_817107.png'>
817108,0.36566857,0,12.986074,7.174569,10.286125,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_817108.png'>
817109,0.5031073,0,13.043925,7.1324453,10.251355,
817110,0.6151898,0,13.089885,7.137636,10.251356,
817111,0.7356296,0,13.148846,7.0698757,10.255784,
817112,0.86505055,0,13.16494,6.9783897,10.264517,
817113,1.0041217,0,13.1568985,6.928295,10.29124,
817114,1.2593315,0,13.12431,6.983565,10.339557,
817115,1.4867073,0,13.070359,6.943045,10.384801,
817116,1.7369658,0,13.107563,6.877927,10.496781,
817117,2.0124102,0,13.154207,6.8768067,10.575664,
817118,2.237037,0,13.186231,6.8708944,10.63249,
817119,2.4784133,0,13.236202,6.8647046,10.685878,
817120,3.0165045,0,13.29706,6.83026,10.806075,
817121,3.5279765,0,13.355233,6.880883,10.84243,
817122,3.9836636,0,13.383874,6.8788133,10.894232,
817123,4.4852138,0,13.401511,6.8756375,10.926871,
817124,5.0372367,0,13.419296,6.8950844,10.966725,
817125,5.4874153,0,13.443232,6.8909025,10.992505,
817126,5.9711623,0,13.465385,6.8796463,11.009238,
817127,7.0495663,0,13.500444,6.8789005,11.032686,
817128,8.074616,0,13.51343,6.864248,11.024858,
817129,8.987875,0,13.525487,6.8564057,11.028103,
817130,9.993033,0,13.539493,6.8475156,11.041038,
