#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=892497 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1661 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
892497,2.220446E-16,0,21.265682,18.914572,17.511896,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_892497.png'>
892498,0.10063854,0,21.30217,18.775154,17.662092,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_892498.png'>
892499,0.18270987,0,21.303524,18.667797,17.780777,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_892499.png'>
892500,0.27090108,0,21.313763,18.554815,17.891703,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_892500.png'>
892501,0.36566857,0,21.32171,18.43114,17.998167,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_892501.png'>
892502,0.5031073,0,21.32576,18.284042,18.116724,
892503,0.6151898,0,21.355406,18.205854,18.23664,
892504,0.7356296,0,21.381536,18.129515,18.38281,
892505,0.86505055,0,21.390856,18.050547,18.539448,
892506,1.0041217,0,21.39546,17.98442,18.687347,
892507,1.2593315,0,21.396957,17.877003,18.922873,
892508,1.4867073,0,21.40854,17.802984,19.10099,
892509,1.7369658,0,21.413956,17.74084,19.271078,
892510,2.0124102,0,21.41264,17.684467,19.423937,
892511,2.237037,0,21.410528,17.644585,19.536404,
892512,2.4784133,0,21.414167,17.578653,19.65125,
892513,3.0165045,0,21.437387,17.497076,19.85881,
892514,3.5279765,0,21.450216,17.4281,20.016172,
892515,3.9836636,0,21.457743,17.38835,20.122625,
892516,4.4852138,0,21.487728,17.347136,20.219376,
892517,5.0372367,0,21.49908,17.321716,20.307909,
892518,5.4874153,0,21.502007,17.309374,20.367775,
892519,5.9711623,0,21.51994,17.280336,20.437092,
892520,7.0495663,0,21.561146,17.22338,20.542866,
892521,8.074616,0,21.565083,17.195396,20.612005,
892522,8.987875,0,21.559685,17.173388,20.658056,
892523,9.993033,0,21.560823,17.14715,20.69053,
892524,15.132311,0,21.530066,17.140844,20.770838,
892525,20.000021,0,21.516352,17.149939,20.831038,
