#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=924755 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1484 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
924755,2.220446E-16,0,10.327091,3.762167,12.566983,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_924755.png'>
924756,0.10063854,0,10.359777,3.8501558,12.469166,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_924756.png'>
924757,0.18270987,0,10.386921,3.9074996,12.396914,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_924757.png'>
924758,0.27090108,0,10.40946,3.953436,12.326422,
924759,0.36566857,0,10.43493,3.9840724,12.256029,
924760,0.5031073,0,10.467581,4.00812,12.151853,
924761,0.6151898,0,10.498037,4.020197,12.062698,
924762,0.7356296,0,10.538838,4.0397305,11.971218,
924763,0.86505055,0,10.575841,4.059281,11.889846,
924764,1.0041217,0,10.613371,4.0847716,11.810607,
924765,1.2593315,0,10.670138,4.098026,11.700428,
924766,1.4867073,0,10.697833,4.0953846,11.628167,
924767,1.7369658,0,10.711611,4.0782256,11.57046,
924768,2.0124102,0,10.753763,4.0980706,11.498148,
924769,2.237037,0,10.778633,4.1011147,11.465818,
924770,2.4784133,0,10.797546,4.0916257,11.431302,
924771,3.0165045,0,10.8130455,4.103381,11.3429365,
924772,3.5279765,0,10.805861,4.0841627,11.285952,
924773,3.9836636,0,10.786318,4.0831866,11.223391,
924774,4.4852138,0,10.765676,4.0942793,11.201751,
924775,5.0372367,0,10.7463,4.084997,11.143227,
924776,5.4874153,0,10.7263365,4.0838313,11.105423,
924777,5.9711623,0,10.71202,4.0826883,11.077477,
924778,7.0495663,0,10.675119,4.076934,11.030756,
924779,8.074616,0,10.653473,4.0932016,10.994515,
924780,8.987875,0,10.642209,4.124939,10.977727,
924781,9.993033,0,10.631527,4.138675,10.939581,
924782,15.132311,0,10.611931,4.164786,10.919017,
924783,20.000021,0,10.600378,4.1794,10.879412,
