#OK
#SQL= select SH.GalaxyID, SH.Redshift as z, SH.SubGroupNumber, SH.CentreOfPotential_x, SH.CentreOfPotential_y, SH.CentreOfPotential_z,SH.Image_Face as face FROM RecalL0025N0752_Subhalo as SH , RecalL0025N0752_Subhalo as REF WHERE REF.GalaxyID=955249 and ((SH.SnapNum > REF.SnapNum and REF.GalaxyID between SH.GalaxyID and SH.TopLeafID ) or (SH.SnapNum <= REF.SnapNum and SH.GalaxyID between REF.GalaxyID and REF.TopLeafID )) ORDER BY SH.Redshift
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 1483 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=SubGroupNumber JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 4 name=CentreOfPotential_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=CentreOfPotential_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=CentreOfPotential_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=face JDBC_TYPE=-9 JDBC_TYPENAME=nvarchar
GalaxyID,z,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,face
955249,2.220446E-16,0,19.872429,2.4534361,16.566977,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_955249.png'>
955250,0.10063854,0,19.834284,2.6715367,16.656353,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_955250.png'>
955251,0.18270987,0,19.808863,2.8458428,16.730255,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_955251.png'>
955252,0.27090108,0,19.784689,3.026301,16.809483,<img src='http://virgodb.cosma.dur.ac.uk/eagle-webstorage/RecalL0025N0752_Subhalo/galface_955252.png'>
955253,0.36566857,0,19.766108,3.2088745,16.894579,
955254,0.5031073,0,19.750069,3.449838,17.02137,
955255,0.6151898,0,19.738836,3.6309884,17.11259,
955256,0.7356296,0,19.736767,3.807548,17.210518,
955257,0.86505055,0,19.738272,3.9851716,17.305727,
955258,1.0041217,0,19.746513,4.167332,17.418419,
955259,1.2593315,0,19.769663,4.4521165,17.60786,
955260,1.4867073,0,19.765148,4.659059,17.740417,
955261,1.7369658,0,19.727253,4.9345517,17.871052,
955262,2.0124102,0,19.718437,5.1511593,18.040413,
955263,2.237037,0,19.720728,5.29853,18.14153,
955264,2.4784133,0,19.73904,5.444494,18.244476,
955265,3.0165045,0,19.827322,5.774674,18.460522,
955266,3.5279765,0,19.89945,5.994626,18.563015,
955267,3.9836636,0,19.961014,6.1712165,18.586784,
955268,4.4852138,0,19.991566,6.2599473,18.594957,
955269,5.0372367,0,19.94854,6.359219,18.61137,
955270,5.4874153,0,19.916847,6.4183197,18.607937,
955271,5.9711623,0,19.899391,6.458298,18.629454,
955272,7.0495663,1,19.881363,6.543181,18.70662,
955273,8.074616,0,19.876995,6.607003,18.756205,
955274,8.987875,0,19.875807,6.653331,18.79092,
955275,9.993033,0,19.872534,6.691897,18.826406,
