GalaxyID,Barred
737885,0
746518,0
754151,0
763033,0
770934,0
780704,1
793490,1
817104,0
833288,1
846421,1
853401,1
860575,1
866129,1
878368,0
892497,0
907304,1
912390,0
917940,0
924755,0
950105,0
955249,0
959840,0
971267,0
1437151,1
1515368,1
1540783,1
1593757,1
1608845,0
1623194,1
1681524,0
1757806,1
1785362,0
